date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:39:16	78130/78130	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2008:04:09%20GMT	https://bc.game/	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/index.html	(from )
22:39:16	128/128	---MCZ	200	added ('OK')	text/plain	etag:W/%2262ff42ac-ce%22	https://bc.game/robots.txt		(from )
22:39:16	89951/89951	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262ff43f1-15f5f%22	https://bc.game/assets/polyfills-modern.a6bcf643.js	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/polyfills-modern.a6bcf643.js	(from https://bc.game/)
22:39:17	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2262ff42ac-3aee%22	https://bc.game/favicon.ico	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/favicon.ico	(from https://bc.game/)
22:39:17	6313/6313	---M--	200	added ('OK')	image/png	etag:%2262ff42ac-23b4%22	https://bc.game/apple-touch-icon.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/apple-touch-icon.png	(from https://bc.game/)
22:39:17	1175/1175	---M--	200	added ('OK')	image/png	etag:%2262ff42ac-587%22	https://bc.game/favicon-32x32.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/favicon-32x32.png	(from https://bc.game/)
22:39:17	679/679	---M--	200	added ('OK')	image/png	etag:%2262ff42ac-392%22	https://bc.game/favicon-16x16.png	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/favicon-16x16.png	(from https://bc.game/)
22:39:17	1740/1740	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff42ac-6cc%22	https://bc.game/safari-pinned-tab.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/safari-pinned-tab.svg	(from https://bc.game/)
22:39:18	333468/333468	---MCZ	200	added ('OK')	text/css	etag:W/%2262ff43f1-5169c%22	https://bc.game/assets/index.c006919b.css	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/index.c006919b.css	(from https://bc.game/)
22:39:18	2730357/2730357	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262ff43f1-29a975%22	https://bc.game/assets/index.61feb879.js	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/index.61feb879.js	(from https://bc.game/)
22:39:18	414/414	---MCZ	200	added ('OK')	application/json	etag:W/%2262ff43f1-19e%22	https://bc.game/manifest.webmanifest	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/manifest.json	(from https://bc.game/)
22:39:19	54115/54115	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262ff43f1-d363%22	https://bc.game/assets/index.1b0aa07c.js	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/index.1b0aa07c.js	(from https://bc.game/)
22:39:19	42809/42809	---MCZ	200	added ('OK')	text/css	etag:W/%2262ff43f1-a739%22	https://bc.game/assets/index.1acdfc31.css	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/index.1acdfc31.css	(from https://bc.game/)
22:39:19	1144/1144	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262ff43f1-478%22	https://bc.game/assets/GameGridList.6466e9db.js	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/GameGridList.6466e9db.js	(from https://bc.game/)
22:39:19	225955/225955	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262ff43f1-372a3%22	https://bc.game/assets/symbol-defs.380e567f.svg	C:/Users/Acer/Desktop/Web%20Development/assingment_game/bc.game/assets/symbol-defs.380e567f.svg	(from https://bc.game/)
